6597069799040|8796111889478|1347528961583
32985348860162|7146833557839|1347528965132
13194139553344|8796103193585|1347528965503
6597069812695|8796114274748|1347528965819
32985348852509|8246358560613|1347528970612
26388279094266|8796107067719|1347528973240
32985348884826|8246368877941|1347528974952
32985348839299|4398077681868|1347528976540
35184372136578|2748788895810|1347528976944
19791209313584|8796110109141|1347528981844
28587302338446|8796095512889|1347528983329
32985348869400|8246366660163|1347528986444
32985348861499|5497568887940|1347528986612
32985348878112|6597078176988|1347528992765
15393162796269|8796095512889|1347528998975
32985348886783|1649276905149|1347529000377
35184372125897|18247360|1347529007238
32985348888891|8796098993582|1347529007276
8796093089239|8246353326703|1347529009418
13194139546996|8796108398259|1347529009727
28587302343365|8796116102143|1347529011780
24189255851611|8796123609803|1347529015248
28587302365859|8796099873888|1347529016132
2199023279853|8246358196108|1347529017543
35184372144788|7696615332816|1347529020252
4398046548411|8796103431418|1347529022165
32985348864071|6047324280032|1347529023149
32985348833536|8246343407115|1347529028109
6597069809937|8246377624557|1347529028127
38518|8796095470882|1347529030074
13194139564805|8796102680512|1347529033728
24189255853119|8796096097020|1347529035072
35184372102430|7696595321822|1347529035269
4398046579250|8796100187588|1347529035342
32985348858717|8796101882351|1347529036609
24189255851509|8796103431418|1347529036665
32985348844615|18980334|1347529039071
6597069800977|8796106157167|1347529041061
32985348870111|4398052097198|1347529042727
24189255828225|8796100673993|1347529043691
32985348892589|8796100364560|1347529054132
4398046552674|8796095512889|1347529054583
13194139565394|8796121560604|1347529055985
15393162830800|8796121025123|1347529059194
30786325579512|8796095470882|1347529063270
10995116318087|8796097467587|1347529064391
32985348847735|8246372217863|1347529070893
32985348890580|8796097615618|1347529071089
8796093072259|8796116172595|1347529075452
6597069834385|8796116483762|1347529075626
4398046519395|7146831035661|1347529078170
32985348871822|7696585742329|1347529078923
32985348845392|3298536122431|1347529079757
32985348855876|7146826471018|1347529080739
28587302368177|8796095112772|1347529082750
6597069813942|8796112692059|1347529086573
4398046538760|8796099250303|1347529089841
4398046540286|8796095023435|1347529090671
10995116286147|8796122867365|1347529090991
24189255818821|7146843488245|1347529091778
10995116284371|8796107416107|1347529092783
17592186047926|8246355325332|1347529093363
32985348896853|7696593154462|1347529095372
17592186067349|8796111449749|1347529096747
17592186072510|8796099899457|1347529105259
21990232596515|8796097611459|1347529105543
21990232621615|8796096184341|1347529106520
24189255825820|8796120985295|1347529108351
10995116342595|8796095035859|1347529109749
32985348841200|6047335029745|1347529112520
15393162859861|8796113227543|1347529113373
30786325616753|8796122462942|1347529114823
17592186060308|8796124150324|1347529115999
21990232607828|8796125069669|1347529117157
24189255815418|8796096184341|1347529118337
32985348833798|2199063513785|1347529118587
32985348880889|8796128355557|1347529119653
2199023322577|8796110842268|1347529121894
2199023284668|8796104285544|1347529124999
64300|8796095037892|1347529129670
10995116350050|8796123216847|1347529138677
32985348859831|8246359309006|1347529142046
26388279087348|8796097236793|1347529143651
6597069816493|8796100508202|1347529143746
8796093046559|8796107412813|1347529148674
10995116302264|8796108242766|1347529153059
8796093045295|8796097611239|1347529157629
28587302338021|8796107940460|1347529161934
32985348840936|7696615070829|1347529165785
24189255827547|8796099603504|1347529176207
4398046540434|8796124029531|1347529178637
26388279126809|8796096521305|1347529181828
32985348896196|7146861538437|1347529182876
30786325593496|8246374130429|1347529184054
32985348857623|2748784577290|1347529189530
32985348860929|8796119950800|1347529191404
32985348885289|1649272821421|1347529196228
19791209318913|8796100187588|1347529196316
35184372140728|5497558702977|1347529196780
17592186081056|8796103525823|1347529199249
2199023263575|8796111552485|1347529199863
